date,open,high,low,close,volume
1325376000,39.49,39.49,39.04,39.26,1111
1325462400,39.26,40.16,39.49,40.16,551
1325548800,40.16,39.71,39.26,39.49,490
1325635200,39.49,39.49,39.04,39.26,3220
1325721600,39.26,39.26,38.82,39.04,775
1325980800,39.04,39.49,39.04,39.26,3240
1326067200,39.26,39.04,38.59,38.59,1710
1326153600,38.59,39.26,38.82,38.82,549
1326240000,38.82,38.82,38.59,38.82,2477
1326326400,38.82,38.82,38.37,38.82,3102
1326672000,38.82,38.82,38.59,38.59,1049
1326758400,38.59,39.26,38.37,39.04,866
1326844800,39.04,40.16,39.26,40.16,2190
1327190400,39.93,40.16,39.49,39.93,4484
1327276800,39.93,39.49,38.59,38.82,1650
1327449600,38.82,39.26,38.59,39.26,1170
1327536000,39.26,39.26,38.37,38.82,1060
1327795200,38.82,39.26,38.59,38.82,4200
1327968000,38.82,39.26,38.37,38.37,2291
1328054400,38.37,39.04,38.37,38.59,1833
1328140800,38.59,39.04,38.59,38.59,3946
1328400000,38.59,38.59,38.14,38.37,1611
1328486400,38.37,38.59,38.37,38.59,992
1328572800,38.59,38.37,37.7,38.37,2091
1328659200,38.37,38.37,38.14,38.37,386
1328745600,38.37,38.37,38.14,38.14,920
1329004800,38.14,38.14,37.92,38.14,1309
1329091200,38.14,38.59,37.7,37.92,1992
1329177600,37.92,38.37,37.7,38.14,1961
1329264000,38.14,38.59,38.37,38.59,276
1329350400,38.59,38.14,37.7,37.92,550
1329782400,37.92,38.14,37.92,38.14,631
1329955200,38.14,38.14,37.7,38.14,1230
1330214400,38.14,38.14,37.25,37.7,2747
1330300800,37.7,38.14,37.7,37.92,1285
1330387200,37.92,38.37,37.7,38.14,2204
1330473600,38.14,38.14,37.92,37.92,1030
1330560000,37.92,38.14,37.7,37.92,2300
1330819200,37.92,38.14,37.03,38.14,1451
1330905600,38.14,38.14,37.7,37.7,460
1330992000,37.7,37.7,37.25,37.25,2124
1331424000,37.25,37.47,37.25,37.47,754
1331510400,37.47,37.7,36.58,37.47,1022
1331596800,37.47,37.47,37.03,37.03,1321
1331683200,37.03,37.25,36.8,36.8,793
1331769600,36.8,36.8,36.36,36.8,842
1332028800,36.8,36.8,36.36,36.8,1003
1332115200,36.8,37.25,36.58,36.58,311
1332201600,36.58,36.8,36.36,36.36,4107
1332288000,36.36,37.47,36.36,37.03,1257
1332633600,37.03,37.47,36.58,37.47,920
1332720000,37.47,37.7,36.8,37.7,2082
1332806400,37.7,37.25,36.58,36.8,270
1332892800,36.8,37.47,37.03,37.47,1615
1332979200,37.47,37.92,37.25,37.25,1395
1333238400,37.25,37.47,37.25,37.47,1762
1333324800,37.47,37.47,37.03,37.25,1275
1333411200,37.25,37.47,37.47,37.47,680
1333497600,37.47,37.47,37.25,37.25,3550
1333584000,37.25,37.47,37.25,37.47,680
1333843200,37.47,37.47,37.25,37.47,1051
1333929600,37.47,37.7,37.25,37.47,921
1334016000,37.47,37.47,37.03,37.47,1313
1334102400,37.47,38.37,37.7,37.7,2180
1334188800,37.7,39.26,37.92,39.26,683
1334448000,39.26,41.5,39.71,41.28,2514
1334534400,41.28,43.96,41.72,43.96,833
1334620800,43.96,43.51,42.84,42.84,1789
1334707200,42.84,42.39,40.61,41.5,3301
1334793600,41.5,42.39,40.61,41.05,4668
1335052800,41.05,41.5,41.05,41.28,1560
1335225600,41.28,42.62,41.72,42.62,100
1335312000,42.62,43.96,43.96,43.96,70
1335398400,43.96,46.87,44.41,46.87,8831
1335657600,46.87,49.33,45.3,47.32,8923
1335744000,47.32,47.99,43.96,45.08,5694
1335916800,45.08,45.08,42.39,42.39,980
1336003200,42.39,43.29,42.84,43.29,241
1336348800,43.29,43.74,43.74,43.74,183
1336435200,43.74,45.53,44.18,45.53,2332
1336521600,45.53,46.87,43.51,45.53,7062
1336608000,45.53,45.53,42.62,44.86,11243
1336867200,44.86,44.41,42.84,43.29,3133
1336953600,43.29,42.84,40.83,41.72,5092
1337040000,41.72,44.41,42.17,44.41,696
1337126400,44.41,44.86,44.86,44.86,150
1337212800,44.86,46.64,45.3,45.3,6469
1337472000,45.3,45.53,43.74,44.86,6548
1337558400,44.86,46.2,44.63,44.86,3222
1337644800,44.86,45.75,43.51,45.75,8963
1337731200,45.75,45.3,43.51,43.51,905
1337817600,43.51,45.75,43.51,45.75,7754
1338076800,45.75,47.99,45.08,46.87,6836
1338249600,46.87,46.42,43.74,43.74,3959
1338336000,43.74,43.29,40.83,40.83,4480
1338422400,40.83,42.39,40.38,42.39,1231
1338681600,42.39,45.08,41.72,45.08,1647
1338768000,45.08,45.3,42.84,43.51,3705
1338854400,43.51,43.96,43.07,43.51,2968
1338940800,43.51,43.07,41.72,41.95,1331
1339027200,41.95,43.74,41.05,43.07,2120
1339286400,43.07,45.08,43.51,44.63,8139
1339372800,44.63,45.53,44.18,45.08,4583
1339459200,45.08,45.53,44.86,45.08,4983
1339545600,45.08,46.42,44.63,45.3,8518
1339632000,45.3,44.86,43.51,44.18,1912
1339891200,44.18,44.18,42.39,43.74,2426
1339977600,43.74,43.51,42.84,43.51,2589
1340064000,43.51,43.51,43.07,43.29,1549
1340150400,43.29,44.18,43.29,43.74,1361
