date,open,high,low,close,volume
1325376000,85.16,89.27,84.59,85.3,2940
1325462400,85.3,87.85,85.44,86.44,1110
1325548800,86.44,87.85,84.31,87.0,4810
1325635200,87.0,87.71,85.02,87.71,5290
1325721600,87.71,87.0,85.59,86.86,1180
1325980800,86.86,86.58,85.73,86.29,2090
1326067200,86.29,86.44,85.73,86.15,1320
1326153600,86.15,87.14,86.29,86.44,1700
1326240000,86.44,89.55,86.29,86.44,1950
1326326400,86.44,86.86,84.74,86.29,1930
1326672000,86.29,86.72,84.59,86.29,2020
1326758400,86.29,82.04,82.04,82.04,80
1326844800,82.04,87.14,83.6,86.44,2950
1327190400,86.15,86.58,85.73,86.01,2310
1327276800,86.01,88.14,85.87,86.44,3430
1327449600,86.44,86.72,85.02,86.72,150
1327536000,86.72,87.14,86.44,86.72,2660
1327795200,86.72,87.0,84.74,87.0,5440
1327968000,87.0,86.72,85.73,86.72,1280
1328054400,86.72,86.44,86.01,86.29,2860
1328140800,86.29,86.72,85.87,85.87,4880
1328400000,85.87,86.44,86.15,86.44,2530
1328486400,86.44,86.15,85.02,85.73,1900
1328572800,85.73,85.73,85.02,85.02,3180
1328659200,85.02,85.02,84.59,84.59,1530
1328745600,84.59,84.59,84.17,84.17,2620
1329004800,84.17,84.31,83.6,84.31,2210
1329091200,84.31,84.31,83.74,83.74,5040
1329177600,83.74,84.17,83.46,83.46,2410
1329264000,83.46,83.88,83.46,83.6,1980
1329350400,83.6,84.88,84.17,84.59,510
1329782400,84.59,85.02,83.88,84.31,500
1329955200,84.31,84.88,83.88,84.03,1460
1330214400,84.03,84.17,83.6,83.6,1700
1330300800,83.6,83.74,83.6,83.6,1130
1330387200,83.6,84.03,83.6,84.03,1900
1330473600,84.03,84.74,84.31,84.45,1140
1330560000,84.45,84.74,84.17,84.74,2720
1330819200,84.74,85.3,84.17,84.88,3350
1330905600,84.88,85.3,84.74,84.88,2390
1330992000,84.88,85.02,84.59,84.88,2360
1331424000,84.88,85.02,83.6,84.74,6530
1331510400,84.74,84.74,83.6,84.59,9890
1331596800,84.59,84.74,84.59,84.59,800
1331683200,84.59,84.88,84.45,84.59,1890
1331769600,84.59,84.74,84.31,84.31,1240
1332028800,84.31,84.59,84.17,84.59,2090
1332115200,84.59,84.74,84.31,84.45,2410
1332201600,84.45,84.45,84.17,84.45,2260
1332288000,84.45,85.02,84.17,84.45,1960
1332633600,84.45,84.31,84.03,84.17,1800
1332720000,84.17,84.31,83.46,83.6,2580
1332806400,83.6,83.6,82.18,83.6,1100
1332892800,83.6,84.88,82.89,83.18,2390
1332979200,83.18,83.46,83.18,83.18,2920
1333238400,83.18,83.32,83.18,83.32,820
1333324800,83.32,84.88,83.6,84.17,720
1333411200,84.17,85.02,82.89,84.45,4140
1333497600,84.45,84.74,84.17,84.31,560
1333584000,84.31,85.73,84.31,84.31,1460
1333843200,84.31,85.02,84.17,84.45,1980
1333929600,84.45,85.73,84.45,85.02,4360
1334016000,85.02,86.15,83.88,85.87,630
1334102400,85.87,90.12,86.15,86.44,5120
1334188800,86.44,90.26,86.58,90.26,4100
1334448000,90.26,97.49,91.96,97.35,3040
1334534400,97.35,99.19,99.19,99.19,10
1334620800,99.19,109.11,93.1,96.35,10410
1334707200,96.35,105.56,93.24,102.87,6290
1334793600,102.87,106.13,102.02,104.15,4230
1335052800,104.15,108.97,104.86,108.54,6270
1335225600,108.54,117.18,110.67,117.18,590
1335312000,117.18,128.8,119.45,128.8,1660
1335398400,128.8,134.33,121.86,126.96,16192
1335657600,126.96,128.09,122.0,125.83,11728
1335744000,125.83,124.69,119.73,120.58,5692
1335916800,120.58,118.18,108.54,109.25,4996
1336003200,109.25,111.37,111.37,111.37,12
1336348800,111.37,118.03,113.5,118.03,126
1336435200,118.03,127.67,120.3,127.53,10080
1336521600,127.53,127.53,121.29,123.84,9050
1336608000,123.84,122.85,117.18,121.43,7862
1336867200,121.43,120.16,113.22,115.06,4768
1336953600,115.06,112.79,107.83,108.54,7552
1337040000,108.54,119.31,110.67,119.31,4918
1337126400,119.31,123.99,121.58,123.99,40
1337212800,123.99,134.61,121.86,125.54,12500
1337472000,125.54,124.84,119.03,123.28,7492
1337558400,123.28,126.11,118.88,125.4,6120
1337644800,125.4,124.27,117.61,122.71,7062
1337731200,122.71,120.3,114.21,115.48,5506
1337817600,115.48,121.72,114.07,120.44,6274
1338076800,120.44,125.83,121.86,124.84,9076
1338249600,124.84,122.43,112.37,112.37,260
1338336000,112.37,110.24,101.17,101.17,14732
1338422400,101.17,107.69,95.5,104.86,9490
1338681600,104.86,116.9,106.84,115.91,14662
1338768000,115.91,116.9,108.4,112.37,7772
1338854400,112.37,111.94,107.69,110.1,4222
1338940800,110.1,110.1,107.83,109.11,3270
1339027200,109.11,112.08,107.83,110.52,4402
1339286400,110.52,110.1,108.4,109.11,4096
1339372800,109.11,113.5,109.39,110.52,686
1339459200,110.52,111.8,106.98,110.52,1580
1339545600,110.52,112.65,109.11,110.38,3332
1339632000,110.38,110.38,108.4,110.38,2602
1339891200,110.38,112.37,109.25,110.52,2292
1339977600,110.52,112.51,109.11,111.8,2932
1340064000,111.8,111.52,110.1,111.52,3212
1340150400,111.52,113.36,111.23,111.66,2554
1340236800,111.66,114.78,109.82,114.78,4500
1340582400,114.78,118.32,113.5,118.03,5504
1340668800,118.03,117.75,114.49,117.75,7064
1340755200,117.75,119.73,115.48,119.03,6216
1340841600,119.03,119.73,114.92,119.45,5440
1341100800,119.45,119.31,116.9,117.89,7440
1341187200,117.89,120.44,116.33,119.03,3918
1341273600,119.03,119.03,114.63,119.03,3798
1341360000,119.03,120.73,118.03,119.88,5560
1341446400,119.88,121.15,119.59,119.73,12308
1341705600,119.73,120.44,118.46,120.44,6982
1341792000,120.44,122.99,120.02,122.14,18312
1341878400,122.14,126.11,120.73,124.27,15294
1341964800,124.27,125.54,124.13,125.4,6534
1342051200,125.4,124.69,121.86,123.7,16062
1342310400,123.7,128.94,123.56,128.94,7380
1342396800,128.94,126.68,119.73,124.84,4481
1342483200,124.84,125.12,122.43,124.98,8952
1342569600,124.98,128.09,124.13,128.09,8086
1342656000,128.09,131.78,124.98,129.79,11222
1342915200,129.79,136.6,128.52,136.6,12652
1343001600,136.6,141.27,134.9,139.15,10834
1343088000,139.15,141.27,135.46,135.46,13712
1343174400,135.46,141.7,138.16,139.71,13874
1343260800,139.71,141.98,136.03,141.98,5808
1343520000,141.98,139.15,136.74,137.45,9978
1343606400,137.45,138.86,136.74,138.44,9630
1343692800,138.44,139.43,136.03,138.86,5272
1343779200,138.86,141.27,138.3,141.27,10496
1344124800,141.27,144.25,140.71,143.82,14232
1344211200,143.82,147.37,141.41,147.37,15310
1344297600,147.37,152.18,147.37,151.62,14072
1344384000,151.62,155.16,150.2,155.16,24956
1344729600,155.16,158.98,151.76,152.75,17090
1344816000,152.75,153.74,147.37,151.05,8774
1344902400,151.05,151.62,147.37,149.92,6978
1344988800,149.92,148.78,145.95,146.37,17522
1345075200,146.37,148.07,141.7,147.08,16196
1345334400,147.08,148.07,144.53,147.22,5446
1345507200,147.22,148.07,145.52,147.37,7802
1345593600,147.37,148.78,147.37,148.07,4794
1345680000,148.07,149.77,146.8,148.78,8822
1345939200,148.78,150.2,147.51,148.64,4822
1346025600,148.64,149.92,145.38,149.77,10390
1346112000,149.77,152.18,150.2,151.62,6108
1346198400,151.62,152.47,148.92,151.9,5652
1346284800,151.9,152.75,151.47,151.62,5784
1346544000,151.62,155.73,152.32,155.02,7944
1346630400,155.02,155.87,152.32,155.44,7448
1346716800,155.44,156.58,153.46,155.3,15002
1346803200,155.3,155.87,154.03,155.44,10702
1346889600,155.44,155.87,153.03,155.73,9316
1347148800,155.73,155.87,153.88,155.87,7580
1347235200,155.87,156.29,155.16,155.58,6932
1347321600,155.58,155.73,154.88,155.16,8912
1347408000,155.16,155.58,153.88,155.44,5382
