date,open,high,low,close,volume
1325376000,76.56,76.47,75.15,75.53,6914
1325462400,75.53,78.26,75.06,78.26,9126
1325548800,78.26,78.26,76.94,76.94,4018
1325635200,76.94,76.94,75.06,75.15,18324
1325721600,75.15,77.13,75.06,77.13,5733
1325980800,77.13,76.94,74.59,76.94,9151
1326067200,76.94,75.62,74.12,74.12,12252
1326153600,74.12,77.79,73.27,76.0,389
1326240000,76.0,80.7,74.12,78.26,1369
1326326400,78.26,79.57,77.98,79.57,110
1326672000,79.57,78.26,75.62,76.28,429
1326758400,76.28,77.98,75.53,76.66,283
1326844800,76.66,77.22,76.0,76.28,821
1327190400,75.72,76.19,75.53,75.53,183
1327276800,75.53,75.53,74.12,74.12,3838
1327449600,74.12,75.34,74.12,75.25,1151
1327536000,75.25,76.09,74.12,76.0,330
1327795200,76.0,75.06,74.12,75.06,3345
1327968000,75.06,75.06,74.12,74.59,453
1328054400,74.59,75.72,74.12,75.72,1427
1328140800,75.72,75.25,74.12,75.06,2007
1328400000,75.06,75.44,74.21,74.31,67
1328486400,74.31,74.4,74.12,74.31,1677
1328572800,74.31,75.34,73.65,75.34,1337
1328659200,75.34,76.56,76.56,76.56,210
1328745600,76.56,77.79,73.65,76.56,1552
1329004800,76.56,75.34,74.12,75.34,968
1329091200,75.34,75.44,74.12,74.21,800
1329177600,74.21,74.31,73.84,73.84,6670
1329264000,73.84,74.97,73.93,74.97,1229
1329350400,74.97,75.81,73.65,74.12,2457
1329782400,74.12,75.06,73.65,75.06,1290
1329955200,75.06,76.38,73.65,76.38,3286
1330214400,76.38,75.15,73.65,75.06,4064
1330300800,75.06,75.81,74.21,75.81,573
1330387200,75.81,76.75,74.12,76.75,3642
1330473600,76.75,75.53,74.12,74.68,2794
1330560000,74.68,76.0,72.71,76.0,33581
1330819200,76.0,75.34,73.93,75.34,1949
1330905600,75.34,75.62,73.65,75.62,6761
1330992000,75.62,76.0,73.65,76.0,3519
1331424000,76.0,75.34,74.12,75.34,770
1331510400,75.34,75.34,73.65,75.34,1930
1331596800,75.34,74.12,72.24,74.12,152797
1331683200,74.12,76.19,74.03,76.19,828
1331769600,76.19,75.34,74.12,75.34,564
1332028800,75.34,75.44,73.65,74.87,4530
1332115200,74.87,74.87,73.65,73.65,4922
1332201600,73.65,76.47,73.84,76.47,416
1332288000,76.47,76.94,74.21,76.94,582
1332633600,76.94,75.62,74.12,75.34,880
1332720000,75.34,74.87,73.65,74.87,8350
1332806400,74.87,74.87,73.37,74.87,5611
1332892800,74.87,74.87,73.65,74.87,4252
1332979200,74.87,74.12,73.65,74.12,4310
1333238400,74.12,77.41,73.74,77.41,328
1333324800,77.41,76.09,74.4,75.06,289
1333411200,75.06,75.81,73.74,75.81,3949
1333497600,75.81,75.91,74.59,75.91,2384
1333584000,75.91,75.06,74.59,74.87,10316
1333843200,74.87,76.0,75.06,75.53,529
1333929600,75.53,76.38,76.0,76.38,3029
1334016000,76.38,77.13,76.09,76.94,3405
1334102400,76.94,79.29,77.41,78.35,3502
1334188800,78.35,81.74,78.63,81.74,4129
1334448000,81.74,86.72,81.74,86.72,6854
1334534400,86.72,94.15,88.23,94.15,415
1334620800,94.15,102.43,85.88,85.97,15765
1334707200,85.97,93.21,82.58,89.17,11617
1334793600,89.17,93.97,89.17,93.97,3226
1335052800,93.97,97.16,93.4,95.66,10422
1335225600,95.66,104.03,96.79,104.03,1848
1335312000,104.03,113.25,105.82,113.25,1310
1335398400,113.25,119.36,103.09,115.51,15702
1335657600,115.51,116.92,109.96,112.5,9521
1335744000,112.5,114.47,105.16,105.44,14923
1335916800,105.44,103.56,96.13,96.6,2436
1336003200,96.6,105.07,98.29,105.07,11750
1336348800,105.07,110.62,106.85,110.62,3386
1336435200,110.62,116.64,111.37,116.26,13100
1336521600,116.26,115.51,106.67,110.8,8023
1336608000,110.8,111.65,106.1,108.26,7737
1336867200,108.26,107.04,101.87,103.28,3325
1336953600,103.28,101.49,94.81,96.22,9168
1337040000,96.22,104.69,97.92,104.69,860
1337212800,104.69,114.0,106.48,111.74,15047
1337472000,111.74,112.12,106.1,110.8,4824
1337558400,110.8,113.16,108.45,113.06,7022
1337644800,113.06,111.09,105.35,108.45,6705
1337731200,108.45,106.57,99.05,101.4,6502
1337817600,101.4,106.57,99.61,106.57,6091
1338076800,106.57,112.69,107.51,111.65,8697
1338249600,111.65,109.68,109.68,109.68,20
1338336000,109.68,107.79,99.89,99.89,91
1338422400,99.89,98.95,91.05,97.35,6011
1338681600,97.35,105.91,97.35,105.16,3440
1338768000,105.16,107.04,102.43,104.31,5836
1338854400,104.31,102.53,99.33,101.21,5137
1338940800,101.21,100.74,96.79,100.74,1197
1339027200,100.74,102.71,99.05,101.12,4577
1339286400,101.12,99.33,95.75,96.51,5342
1339372800,96.51,100.93,97.82,98.48,1468
1339459200,98.48,100.93,96.88,100.93,267
1339545600,100.93,100.65,98.58,100.27,410
1339632000,100.27,100.27,98.58,100.17,257
1339891200,100.17,98.48,96.69,98.29,3064
1339977600,98.29,98.29,96.69,97.82,1954
1340064000,97.82,97.16,95.75,96.22,9924
1340150400,96.22,97.92,95.75,97.26,18507
1340236800,97.26,97.45,95.75,97.45,96949
1340582400,97.45,99.61,96.79,99.42,1492
1340668800,99.42,99.05,95.75,98.2,4204
1340755200,98.2,100.36,97.16,99.52,3790
1340841600,99.52,100.93,99.14,100.08,3200
1341100800,100.08,100.46,98.58,99.33,16001
1341187200,99.33,100.36,98.58,99.89,15297
1341273600,99.89,99.89,99.42,99.52,4512
1341360000,99.52,101.68,98.86,100.83,10200
1341446400,100.83,100.74,99.52,100.65,6107
1341705600,100.65,100.65,99.61,100.46,2373
1341792000,100.46,101.87,100.46,101.87,2901
1341878400,101.87,103.75,101.87,103.75,7467
1341964800,103.75,104.22,102.71,103.28,5222
1342051200,103.28,104.6,102.81,103.37,59280
1342310400,103.37,108.83,103.28,108.26,18211
1342396800,108.26,106.38,102.34,104.69,24941
1342483200,104.69,104.88,103.09,104.22,2281
1342569600,104.22,108.73,104.69,108.73,4388
1342656000,108.73,110.8,107.98,110.33,7695
1342915200,110.33,112.69,109.86,111.18,9924
1343001600,111.18,113.72,109.96,112.69,5864
1343088000,112.69,112.87,109.02,111.65,5993
1343174400,111.65,112.78,110.9,111.93,59028
1343260800,111.93,111.93,109.11,111.27,5046
1343520000,111.27,110.62,108.17,109.96,7154
1343606400,109.96,112.31,109.11,110.71,3066
1343692800,110.71,113.06,108.92,110.8,7345
1343779200,110.8,111.27,109.86,110.99,14489
1344124800,110.99,113.06,111.27,113.06,6095
1344211200,113.06,114.1,109.39,112.4,6039
1344297600,112.4,114.38,112.4,112.78,7376
1344384000,112.78,112.78,112.21,112.69,1472
1344729600,112.69,113.63,111.84,112.59,9649
1344816000,112.59,113.16,109.39,111.74,6998
1344902400,111.74,111.74,110.05,110.52,14932
1344988800,110.52,112.69,109.86,110.15,11458
1345075200,110.15,111.27,108.45,110.99,6326
1345334400,110.99,112.03,109.86,111.27,3473
1345507200,111.27,112.12,110.8,111.18,7444
1345593600,111.18,111.18,110.33,110.8,4555
1345680000,110.8,111.09,109.86,109.86,3679
1345939200,109.86,111.27,109.86,110.33,2846
1346025600,110.33,111.27,109.86,110.9,3887
1346112000,110.9,111.65,110.52,111.09,3340
1346198400,111.09,114.38,111.27,114.28,8128
1346284800,114.28,115.51,112.69,113.34,9198
1346544000,113.34,115.32,113.63,115.04,10791
1346630400,115.04,116.35,115.32,115.51,8841
1346716800,115.51,116.45,113.63,114.19,8673
1346803200,114.19,114.38,112.69,114.1,3536
