date,open,high,low,close,volume
1332028800,85.22,84.27,83.32,83.32,110
1332201600,83.32,82.37,82.37,82.37,10
1337644800,82.37,83.95,83.32,83.95,146
1341187200,83.95,83.0,83.0,83.0,50
1342569600,83.0,82.05,82.05,82.05,50
1343692800,82.05,81.1,80.78,80.78,240
1349222400,80.78,79.83,79.83,79.83,61
1349827200,79.83,78.88,78.88,78.88,100
1351987200,78.88,77.93,77.93,77.93,1428
1354492800,77.93,78.88,78.88,78.88,387
1354579200,78.88,77.93,77.61,77.61,186
1354665600,77.61,76.66,75.07,75.07,3481
1354752000,75.07,74.44,70.63,70.63,17939
1359244800,72.1,70.79,70.79,70.79,73
1363132800,70.79,70.79,70.79,70.79,1106
1367280000,70.79,70.13,70.13,70.13,1190
1369612800,70.13,70.13,70.13,70.13,203
1369872000,70.13,70.13,68.16,68.16,1233
1370390400,68.16,67.5,65.53,65.53,709
1370822400,65.53,66.19,65.53,65.53,87
1370995200,65.53,64.88,64.22,64.22,535
1375056000,64.22,63.56,63.56,63.56,446
1378080000,63.56,63.24,61.92,61.92,756
1378166400,61.92,62.58,61.92,62.58,1562
1378339200,62.58,63.24,63.24,63.24,198
1378684800,63.24,63.89,63.89,63.89,500
1378771200,63.89,63.89,63.89,63.89,40
1378857600,63.89,63.89,63.24,63.24,1385
1379203200,63.24,63.24,63.24,63.24,966
1379376000,63.24,63.24,63.24,63.24,16
1379808000,63.24,63.24,63.24,63.24,32
1379894400,63.24,63.24,63.24,63.24,495
1379980800,63.24,63.89,63.24,63.24,336
1380067200,63.24,63.56,63.24,63.56,1421
1380672000,63.56,63.56,63.56,63.56,125
1380758400,63.56,62.91,62.91,62.91,40
1382227200,62.91,62.25,62.25,62.25,27
1382400000,62.25,61.6,61.6,61.6,3029
1382486400,61.6,62.91,62.25,62.25,863
1382918400,62.25,62.91,62.25,62.25,191
1383004800,62.25,62.25,62.25,62.25,125
1383782400,62.25,62.25,61.6,62.25,220
1385856000,62.25,62.25,61.6,61.6,1545
1386115200,61.6,62.91,62.25,62.91,20
1386201600,62.91,64.88,63.56,64.88,30
1386547200,64.88,67.5,65.53,67.5,258
1386633600,67.5,68.16,68.16,68.16,10
1386720000,68.16,69.47,68.82,69.47,30
1386806400,69.47,71.44,70.13,71.44,336
1387065600,71.44,72.75,72.1,72.75,218
1387670400,72.75,73.41,73.41,73.41,130
1387756800,73.41,74.07,74.07,74.07,43
1387843200,74.07,74.07,73.41,74.07,148
1389139200,74.07,73.41,73.41,73.41,500
1389571200,73.41,72.75,72.75,72.75,129
1390262400,72.75,74.72,73.41,74.72,297
1390348800,74.72,75.38,75.38,75.38,660
1390435200,75.38,76.04,76.04,76.04,52
1390694400,76.04,76.36,76.36,76.36,206
1390867200,76.36,78.33,77.02,78.33,304
1390953600,78.33,79.32,79.32,79.32,416
1391385600,79.32,80.3,80.3,80.3,140
1392249600,80.3,82.27,81.29,82.27,226
1392508800,82.27,83.26,83.26,83.26,7047
1392681600,83.26,84.24,84.24,84.24,143
1393113600,84.24,85.23,85.23,85.23,100
1393372800,85.23,85.23,85.23,85.23,53
1393804800,85.23,85.55,84.57,84.57,4317
1394064000,84.57,85.55,85.55,85.55,354
1394323200,85.55,85.55,85.55,85.55,12414
1394409600,85.55,85.23,84.57,85.23,562
1394496000,85.23,85.23,85.23,85.23,125
1399766400,85.23,84.24,83.26,83.26,434
1400544000,83.26,83.91,82.93,83.91,964
1400630400,83.91,83.91,83.91,83.91,790
1401062400,83.91,82.93,82.93,82.93,207
1402272000,82.93,81.94,79.97,79.97,1015
1402444800,79.97,78.99,78.99,78.99,521
1402531200,78.99,78.01,78.01,78.01,180
1402790400,78.01,78.01,78.01,78.01,66
1402876800,78.01,79.97,78.99,79.97,989
1403049600,79.97,79.32,78.01,78.01,283
1403568000,78.01,78.99,78.99,78.99,1000
1403740800,78.99,79.97,79.32,79.32,1316
1404000000,79.32,80.3,80.3,80.3,555
1404086400,80.3,82.27,81.29,82.27,325
1404691200,82.27,87.52,83.26,87.52,170
1404777600,87.52,93.1,88.51,93.1,200
1404864000,93.1,99.34,94.09,99.01,3371
1404950400,99.01,100.32,99.01,99.01,547
1405296000,99.01,100.32,100.32,100.32,206
1405382400,100.32,100.98,100.98,100.98,105
1405900800,100.98,105.57,102.29,105.57,4143
1405987200,105.57,108.2,106.89,108.2,1573
1406073600,108.2,107.54,106.56,106.89,4473
1406160000,106.89,107.21,104.59,107.21,1698
1406419200,107.21,112.47,108.53,110.82,3871
1406678400,110.82,112.14,109.18,112.14,833
1406764800,112.14,110.5,110.5,110.5,249
1407024000,110.5,118.04,111.81,118.04,4030
1407110400,118.04,116.4,116.4,116.4,40
1407283200,116.4,118.04,118.04,118.04,596
1407974400,118.04,116.4,114.76,114.76,1032
1408492800,114.76,113.12,111.48,111.48,153
1418169600,111.48,109.84,109.84,109.84,143
1418256000,109.84,114.11,108.53,114.11,416
1422316800,114.23,117.02,115.63,117.02,20
1422403200,117.02,115.28,115.28,115.28,15
1422921600,115.28,113.88,113.88,113.88,60
1423008000,113.88,112.49,106.91,107.26,5947
1423094400,107.26,105.86,103.07,104.47,1405
1423353600,104.47,104.47,104.47,104.47,160
1423526400,104.47,103.07,103.07,103.07,176
1423612800,103.07,104.47,103.07,104.47,1413
1423699200,104.47,106.56,105.51,106.21,12752
1423958400,106.21,106.21,104.82,106.21,35
1424044800,106.21,104.82,103.42,103.42,4000
1424304000,103.42,106.91,104.82,106.91,793
1424736000,106.91,107.61,105.16,105.16,2010
