date,open,high,low,close,volume
1329091200,84.57,84.23,84.23,84.23,110
1337644800,84.23,84.65,84.4,84.65,63
1340582400,84.65,84.32,84.32,84.32,30
1343088000,84.32,84.91,84.57,84.57,879
1343174400,84.57,84.91,84.91,84.91,10
1346284800,84.91,84.57,84.57,84.57,136
1346889600,84.57,84.23,83.98,83.98,78
1347148800,83.98,83.73,83.22,83.22,247
1347235200,83.22,82.97,82.97,82.97,100
1347321600,82.97,82.72,82.21,82.21,341
1347408000,82.21,81.96,81.96,81.96,134
1347494400,81.96,81.71,80.61,80.61,2168
1347753600,80.61,80.36,79.35,79.35,24867
1348012800,79.35,78.85,78.85,78.85,2500
1348099200,78.85,79.02,79.02,79.02,30
1348358400,79.02,79.69,79.18,79.69,224
1349740800,79.69,79.86,79.86,79.86,134
1349827200,79.86,81.04,80.03,81.04,442
1350172800,81.04,82.3,81.29,82.3,274
1350518400,82.3,82.55,82.55,82.55,50
1351641600,82.55,83.98,82.8,83.98,200
1351728000,83.98,85.58,84.23,85.58,420
1351987200,85.58,87.26,85.92,87.09,1282
1352073600,87.09,87.35,87.01,87.01,218
1353369600,87.01,87.09,87.09,87.09,390
1354060800,87.09,86.76,86.76,86.76,38
1355356800,86.76,87.09,87.09,87.09,20
1356480000,87.09,86.76,86.08,86.08,70
1356566400,86.08,85.75,85.75,85.75,188
1357084800,85.75,85.41,84.15,84.15,606
1357171200,84.15,83.9,83.56,83.9,390
1357689600,83.9,83.73,83.64,83.73,352
1358294400,83.73,83.48,83.48,83.48,135
1358899200,83.48,83.22,83.22,83.22,101
1359244800,83.22,82.97,82.97,82.97,78
1359504000,82.97,83.22,83.22,83.22,350
1359590400,83.22,83.31,83.22,83.22,400
1360022400,83.22,82.97,82.97,82.97,100
1360454400,82.97,82.72,82.47,82.47,347
1360800000,82.47,83.9,82.72,83.9,1400
1361059200,83.9,84.15,84.15,84.15,50
1361404800,84.15,84.15,84.06,84.15,134
1362614400,84.15,84.65,84.4,84.65,163
1363132800,84.65,84.32,84.06,84.15,632
1366848000,84.15,84.15,84.15,84.15,20777
1367884800,84.15,83.9,83.9,83.9,200
1367971200,83.9,84.15,84.15,84.15,30
1368057600,84.15,83.98,83.48,83.73,195
1368403200,83.73,83.48,82.97,82.97,714
1368489600,82.97,83.22,82.72,83.22,1452
1370304000,83.22,82.97,82.97,82.97,165
1370736000,82.97,83.22,83.14,83.14,317
1370908800,83.14,83.14,83.14,83.14,98
1370995200,83.14,83.05,83.05,83.05,134
1371427200,83.05,83.05,83.05,83.05,327
1371513600,83.05,83.05,83.05,83.05,515
1372723200,83.05,83.31,83.31,83.31,3360
1373155200,83.31,83.05,83.05,83.05,70
1373241600,83.05,83.31,83.31,83.31,200
1373328000,83.31,83.05,83.05,83.05,220
1374451200,83.05,83.31,83.31,83.31,34
1375747200,83.31,83.73,83.56,83.73,250
1375833600,83.73,84.23,83.98,84.23,202
1375920000,84.23,84.15,83.9,83.9,281
1376524800,83.9,84.4,84.15,84.4,20
1376870400,84.4,85.33,84.65,85.33,10022
1376956800,85.33,85.41,85.41,85.41,10777
1377388800,85.41,87.09,85.75,87.09,50
1377475200,87.09,89.03,87.43,89.03,60
1377561600,89.03,91.13,89.45,91.13,80
1377734400,91.13,93.24,91.56,93.24,50
