date,open,high,low,close,volume
1325376000,83.27,83.84,81.17,83.84,799
1325462400,83.84,87.08,84.12,85.84,1002
1325548800,85.84,87.37,85.08,85.08,2653
1325635200,85.08,83.46,80.31,82.5,490
1325721600,82.5,83.46,81.84,81.84,121
1325980800,81.84,80.6,77.64,79.17,4835
1326067200,79.17,80.69,79.17,80.69,195
1326153600,80.69,82.22,80.6,80.6,658
1326240000,80.6,83.36,80.6,83.36,969
1326326400,83.36,86.22,82.03,86.22,773
1326672000,86.22,84.51,82.69,83.84,235
1326758400,83.84,82.5,78.21,82.12,2244
1326844800,82.12,84.12,79.17,84.12,1617
1327190400,84.12,82.98,79.74,79.74,1273
1327276800,79.74,80.4,78.78,79.64,1255
1327449600,79.64,80.12,78.69,80.12,442
1327536000,80.12,79.17,78.78,79.17,408
1327795200,79.17,79.17,78.5,79.17,496
1327968000,79.17,80.6,80.31,80.31,143
1328054400,80.31,80.12,79.36,79.36,250
1328140800,79.36,81.07,79.45,81.07,382
1328400000,81.07,80.12,78.59,79.07,1035
1328486400,79.07,79.07,78.59,78.59,545
1328572800,78.59,79.45,78.21,79.17,816
1328659200,79.17,80.21,79.17,80.21,187
1328745600,80.21,80.12,79.17,80.12,437
1329004800,80.12,80.4,78.97,80.4,1780
1329091200,80.4,83.55,79.36,83.55,885
1329177600,83.55,82.98,82.03,82.03,447
1329264000,82.03,82.03,80.4,80.4,182
1329350400,80.4,81.07,79.45,81.07,1286
1329782400,81.07,81.07,79.74,81.07,170
1329955200,81.07,81.07,80.6,81.07,79
1330214400,81.07,81.64,79.45,80.5,1025
1330300800,80.5,80.79,79.26,80.79,1055
1330387200,80.79,82.69,80.6,82.69,825
1330473600,82.69,82.88,82.03,82.12,602
1330560000,82.12,84.6,82.5,84.6,497
1330819200,84.6,83.55,82.98,83.36,590
1330905600,83.36,84.6,82.6,84.22,571
1330992000,84.22,84.41,83.46,84.12,301
1331424000,84.12,84.41,82.79,84.41,361
1331510400,84.41,84.12,83.93,83.93,256
1331596800,83.93,83.93,82.31,83.93,501
1331683200,83.93,83.46,82.03,82.03,389
1331769600,82.03,81.26,79.74,81.26,446
1332028800,81.26,82.88,81.07,82.69,168
1332115200,82.69,84.12,81.36,84.12,281
1332201600,84.12,83.36,80.79,83.36,307
1332288000,83.36,83.74,81.07,83.74,900
1332633600,83.74,83.74,80.6,83.74,521
1332720000,83.74,82.12,82.12,82.12,50
1332806400,82.12,83.27,81.07,82.69,342
1332892800,82.69,82.69,81.07,82.69,317
1332979200,82.69,82.69,81.07,82.69,64
1333238400,82.69,81.26,79.64,81.26,981
1333324800,81.26,83.93,81.26,83.93,270
1333411200,83.93,84.98,82.69,83.46,145
1333497600,83.46,86.03,83.74,86.03,106
1333843200,86.03,85.36,83.84,85.36,318
1333929600,85.36,85.94,84.32,85.94,906
1334016000,85.94,85.08,84.89,84.89,249
1334102400,84.89,88.23,84.41,86.8,1173
1334188800,86.8,94.24,87.75,94.24,1316
1334448000,94.24,102.53,96.05,102.53,1840
1334620800,102.53,112.74,94.81,95.38,2664
1334707200,95.38,103.11,90.71,103.11,1741
1334793600,103.11,109.11,102.82,107.78,3104
1335052800,107.78,114.46,107.78,114.46,3423
1335225600,114.46,125.9,116.74,125.9,880
1335312000,125.9,138.49,128.38,138.3,3631
1335398400,138.3,147.84,133.53,147.84,6246
1335657600,147.84,146.69,139.35,143.07,4632
1335744000,143.07,140.21,131.62,133.53,2746
1335916800,133.53,130.86,120.18,120.18,956
1336003200,120.18,132.2,122.56,132.2,522
1336348800,132.2,145.36,134.77,145.36,1302
1336435200,145.36,151.18,140.21,145.36,4092
1336521600,145.36,148.22,134.96,139.16,6781
1336608000,139.16,138.59,132.29,135.44,3591
1336867200,135.44,132.77,123.04,124.18,1788
1336953600,124.18,121.7,114.46,116.27,2577
1337040000,116.27,127.81,116.27,127.81,2424
1337126400,127.81,140.59,127.81,140.59,1090
1337212800,140.59,149.08,135.53,138.3,6367
1337472000,138.3,139.06,132.58,138.3,1648
1337558400,138.3,139.25,133.53,137.82,3948
1337644800,137.82,137.16,131.62,137.16,1664
1337731200,137.16,134.49,126.38,126.38,617
1337817600,126.38,133.53,123.99,130.57,3006
1338076800,130.57,138.11,130.86,135.44,4735
1338249600,135.44,132.77,127.62,127.62,30
1338336000,127.62,125.14,114.93,114.93,399
1338422400,114.93,117.13,106.16,114.46,5417
1338681600,114.46,125.9,115.41,125.23,2718
1338768000,125.23,125.23,120.66,123.04,2280
1338854400,123.04,120.66,116.08,118.46,1088
1338940800,118.46,116.46,113.5,115.03,4535
1339027200,115.03,119.99,115.41,116.84,1504
1339286400,116.84,115.41,113.31,114.93,1572
1339372800,114.93,119.51,114.46,114.46,602
1339459200,114.46,115.41,113.98,115.41,1025
1339545600,115.41,116.36,114.55,116.36,197
1339632000,116.36,115.89,114.07,115.6,903
1339891200,115.6,114.93,113.88,114.93,306
1339977600,114.93,116.74,114.46,115.41,320
1340064000,115.41,115.5,113.12,115.5,624
