date,open,high,low,close,volume
1325376000,61.46,61.46,60.89,61.46,6400
1325462400,61.46,61.46,61.46,61.46,1500
1325548800,61.46,62.02,61.46,62.02,3110
1325635200,62.02,61.46,60.33,60.33,3000
1325980800,60.33,60.89,60.33,60.89,403500
1326067200,60.89,61.46,59.77,61.46,648225
1326153600,61.46,62.02,61.46,62.02,8000
1326240000,62.02,63.14,62.58,63.14,70
1326326400,63.14,62.58,62.58,62.58,500
1326672000,62.58,62.02,62.02,62.02,1000
1326758400,62.02,62.02,61.46,61.46,3000
1327190400,61.46,62.02,61.46,61.46,2000
1327536000,61.46,60.89,60.89,60.89,2000
1327795200,60.89,60.89,60.33,60.89,6000
1328054400,60.89,60.33,60.33,60.33,1200
1328400000,60.33,59.77,59.21,59.21,2000
1328572800,59.21,59.77,59.21,59.21,2500
1328659200,59.21,59.21,58.64,58.64,1860
1328745600,58.64,60.89,59.21,60.89,1050
1329004800,60.89,60.33,60.33,60.33,1000
1329091200,60.33,62.02,60.33,62.02,781
1329350400,62.02,61.46,61.46,61.46,190
1329782400,61.46,61.46,61.46,61.46,1000
1330214400,61.46,60.89,60.89,60.89,250
1330387200,60.89,60.89,60.89,60.89,60
1330905600,60.89,61.46,61.46,61.46,100
1331424000,61.46,60.89,60.33,60.33,300
1331510400,60.33,59.77,59.77,59.77,300
1331596800,59.77,59.77,59.77,59.77,400
1332115200,59.77,59.77,59.77,59.77,100
1332979200,59.77,59.21,58.64,58.64,2300
1333238400,58.64,58.08,56.39,56.39,12800
1333324800,56.39,56.39,55.27,56.39,20100
1333411200,56.39,57.52,55.83,57.52,5400
1333497600,57.52,58.08,56.39,56.96,9000
1333584000,56.96,56.96,56.39,56.39,4000
1333843200,56.39,56.39,55.83,55.83,25000
1333929600,55.83,56.96,55.83,56.96,15000
1334016000,56.96,58.64,57.52,58.08,6200
1334102400,58.08,59.21,56.96,56.96,5600
1334188800,56.96,58.08,56.39,58.08,4400
1334448000,58.08,60.33,58.64,59.77,29800
1334534400,59.77,60.33,60.33,60.33,100
1334620800,60.33,61.46,60.89,60.89,11600
1334707200,60.89,63.14,60.33,63.14,10505
1334793600,63.14,64.83,62.02,63.14,24800
1335052800,63.14,65.96,63.71,65.39,63050
1335225600,65.39,67.64,65.96,67.64,1800
1335312000,67.64,69.33,68.21,69.33,34020
1335398400,69.33,72.71,69.33,72.71,84660
1335657600,72.71,76.64,73.27,76.64,23280
1335744000,76.64,81.14,77.21,80.02,64618
1335916800,80.02,84.52,75.52,75.52,55215
1336003200,75.52,76.64,76.08,76.64,150
1336348800,76.64,80.58,78.33,80.58,14380
1336435200,80.58,83.96,81.14,83.39,13110
1336521600,83.39,83.96,80.58,81.14,3750
1336608000,81.14,80.58,76.64,76.64,56480
1336867200,76.64,76.64,76.08,76.08,420
1336953600,76.08,75.52,73.83,73.83,1050
1337040000,73.83,77.77,74.39,77.21,18400
1337126400,77.21,79.46,77.21,79.46,9250
1337212800,79.46,80.58,77.77,78.89,15090
1337472000,78.89,78.33,74.39,74.39,24110
1337558400,74.39,74.96,72.14,72.71,35630
1337644800,72.71,76.08,71.58,75.52,10210
1337817600,75.52,76.08,76.08,76.08,520
1338076800,76.08,76.64,76.08,76.08,70
1338422400,76.08,75.52,72.14,72.14,430
1338681600,72.14,71.58,68.77,68.77,17950
1338768000,68.77,68.21,65.96,65.96,14600
1338854400,65.96,65.96,63.14,64.27,7730
1338940800,64.27,65.96,63.71,65.96,13350
1339027200,65.96,68.77,65.96,66.52,32500
1339286400,66.52,67.64,66.52,67.08,17770
1339372800,67.08,67.08,66.52,66.52,3000
1339459200,66.52,66.52,64.83,64.83,5900
1339545600,64.83,67.08,65.39,65.39,8010
1339632000,65.39,66.52,65.39,66.52,1860
1339891200,66.52,66.52,64.83,65.39,4400
1339977600,65.39,65.39,64.83,64.83,7000
1340064000,64.83,64.27,64.27,64.27,2000
1340150400,64.27,67.08,64.83,67.08,9736
1340236800,67.08,69.33,67.64,68.21,34000
1340582400,68.21,68.77,67.08,67.08,7983
1340668800,67.08,66.52,65.39,65.96,5500
1340755200,65.96,68.77,66.52,68.21,20615
1340841600,68.21,69.33,67.08,67.64,24710
1341100800,67.64,67.08,66.52,67.08,16400
1341187200,67.08,66.52,63.71,63.71,64750
1341273600,63.71,63.14,61.46,63.14,20970
1341360000,63.14,63.14,62.02,63.14,33200
1341446400,63.14,63.71,62.58,62.58,22000
1341705600,62.58,63.14,62.02,62.02,18100
1341792000,62.02,62.58,61.46,62.58,61400
1341878400,62.58,64.27,63.14,64.27,2700
1341964800,64.27,64.83,64.27,64.27,2200
1342051200,64.27,64.83,61.46,61.46,67100
1342310400,61.46,64.27,62.02,64.27,3125
1342396800,64.27,63.71,63.14,63.14,7050
1342483200,63.14,64.27,63.71,64.27,4760
1342569600,64.27,64.83,64.27,64.27,5050
1342656000,64.27,64.27,63.14,63.14,19800
1342915200,63.14,64.83,63.71,64.27,14367
1343001600,64.27,65.39,63.71,63.71,23090
1343088000,63.71,64.27,63.14,64.27,8715
1343174400,64.27,64.27,63.71,63.71,4500
1366156800,63.71,64.27,64.27,64.27,25000
1366243200,64.27,65.39,64.83,65.39,20
1366502400,65.39,68.21,65.96,68.21,50
1366588800,68.21,71.58,68.77,71.58,1060
1366675200,71.58,74.96,72.14,74.96,3060
1366848000,74.96,78.89,75.52,76.64,104705
1367107200,76.64,78.33,72.71,72.71,173321
1367193600,72.71,73.27,69.89,72.71,21350
1367280000,72.71,72.14,70.46,71.02,18000
1367452800,71.02,70.46,67.64,67.64,19780
1367712000,67.64,67.08,64.27,64.27,11420
1367798400,64.27,63.71,61.46,62.02,10600
1367971200,62.02,63.71,62.58,63.71,30
1368057600,63.71,64.27,64.27,64.27,10
1368403200,64.27,67.08,64.83,67.08,12060
1368489600,67.08,70.46,67.64,70.46,39880
1372118400,70.46,71.02,67.08,67.08,11620
1372204800,67.08,66.52,64.83,64.83,17680
1372291200,64.83,65.96,64.27,65.96,6910
1372550400,65.96,65.39,64.27,64.27,14167
1372636800,64.27,65.96,63.71,65.96,2850
1372723200,65.96,67.08,65.39,66.52,17470
1372809600,66.52,66.52,65.39,65.39,8000
1372896000,65.39,67.64,64.83,67.64,70360
1373155200,67.64,67.08,67.08,67.08,1000
1373241600,67.08,66.52,66.52,66.52,120
1373328000,66.52,65.96,64.83,65.39,5500
1373414400,65.39,65.39,64.27,64.27,16110
1373500800,64.27,66.52,64.83,66.52,24280
1373760000,66.52,68.77,67.08,68.77,160
1373932800,68.77,68.21,66.52,66.52,510
1374019200,66.52,67.08,67.08,67.08,100
1374105600,67.08,66.52,64.83,64.83,7900
1374364800,64.83,65.96,64.83,65.96,4410
1374451200,65.96,65.39,64.83,64.83,3500
1374537600,64.83,65.39,64.83,64.83,7340
1374624000,64.83,64.83,64.27,64.27,9000
1374710400,64.27,64.83,64.27,64.27,1100
1374969600,64.27,64.83,63.71,64.27,22560
1375056000,64.27,64.83,64.27,64.27,11000
1375142400,64.27,64.27,64.27,64.27,3000
1375228800,64.27,64.27,64.27,64.27,200
1375315200,64.27,65.39,63.71,63.71,8010
1375574400,63.71,64.83,63.14,64.83,22500
1375660800,64.83,65.39,64.83,64.83,1200
1375747200,64.83,64.27,63.14,63.71,4000
1375833600,63.71,64.27,63.14,63.14,12900
1375920000,63.14,63.71,63.14,63.71,11000
1376179200,63.71,64.27,63.14,63.14,21100
1376265600,63.14,63.14,62.58,62.58,8000
1376352000,62.58,62.02,62.02,62.02,4000
1376438400,62.02,63.14,62.58,63.14,3000
