date,open,high,low,close,volume
1373760000,128.26,90.14,85.96,90.14,40
1373846400,90.14,97.89,94.02,97.89,40
1374019200,97.89,106.41,99.59,106.41,150
1374105600,106.41,115.71,108.27,115.71,1706
1374364800,115.71,125.94,117.72,125.94,12269
1374451200,125.94,137.25,126.09,127.95,50250
1374537600,127.95,128.26,126.09,126.25,23541
1374624000,126.25,126.56,120.05,122.06,25879
1374710400,122.06,121.29,118.96,120.05,12985
1374969600,120.05,121.29,118.96,120.51,12444
1375056000,120.51,122.68,120.51,122.53,12604
1375142400,122.53,126.56,122.06,125.63,11888
1375228800,125.63,127.18,123.61,125.47,16045
1375315200,125.47,127.64,123.92,124.54,16832
1375574400,124.54,125.16,122.06,122.06,13593
1375660800,122.06,122.06,118.96,120.82,10674
1375747200,120.82,121.6,114.62,120.51,10700
1375833600,120.51,121.6,118.34,118.96,9805
1375920000,118.96,118.96,115.86,115.86,21368
1376179200,115.86,115.86,114.31,114.78,6558
1376265600,114.78,114.93,113.54,113.85,5132
1376352000,113.85,115.09,112.76,114.0,4580
1376438400,114.0,113.54,109.36,109.36,10225
1376524800,109.36,109.36,105.64,107.19,10293
1376784000,107.19,111.53,107.19,110.91,8933
1376870400,110.91,112.61,109.98,111.22,4023
1376956800,111.22,113.07,110.44,112.3,11568
1377388800,112.3,112.3,110.91,111.84,6208
1377475200,111.84,111.99,109.36,109.82,6237
1377561600,109.82,112.76,109.05,111.22,11433
1377734400,111.22,111.99,109.82,110.91,23136
1377993600,110.91,110.91,109.67,110.44,7678
1378080000,110.44,111.37,109.05,110.44,10758
1378166400,110.44,110.91,109.51,109.67,20263
1378252800,109.67,111.53,108.43,108.89,3978
1378339200,108.89,108.89,108.27,108.89,4271
1378598400,108.89,110.29,108.12,108.27,21774
1378684800,108.27,110.29,108.12,110.13,8818
1378771200,110.13,110.91,108.12,108.12,5479
1378857600,108.12,108.89,107.5,108.89,8212
1378944000,108.89,108.43,107.96,108.43,1797
1379203200,108.43,108.58,107.81,107.81,4941
1379289600,107.81,107.65,105.79,107.34,3632
1379376000,107.34,107.19,106.26,106.72,6735
1379548800,106.72,106.57,105.02,106.57,5987
1379808000,106.57,104.71,103.0,104.09,2361
1379894400,104.09,104.4,102.54,104.4,6184
1379980800,104.4,105.64,104.55,105.48,5223
1380067200,105.48,104.71,103.47,104.71,3376
1380153600,104.71,105.79,103.93,104.09,2222
1380412800,104.09,104.09,103.16,103.93,5097
1380499200,103.93,103.47,102.07,102.54,2382
1380585600,102.54,103.31,102.07,102.54,3171
1380672000,102.54,104.4,101.76,104.24,1017
1380758400,104.24,104.24,102.54,104.24,2064
1381017600,104.24,106.1,103.0,106.1,2617
1381104000,106.1,112.15,104.86,108.43,431
1381190400,108.43,107.65,105.79,107.34,1616
1381276800,107.34,107.34,104.24,107.34,944
1381363200,107.34,108.12,105.48,108.12,2612
1381968000,108.12,112.3,108.12,110.44,2059
1382227200,110.44,114.78,110.44,114.31,7738
1382313600,114.31,119.43,113.07,115.24,9821
1382400000,115.24,115.09,111.99,111.99,9367
1382486400,111.99,111.84,110.44,111.22,3207
1382572800,111.22,111.37,109.67,110.91,4392
1382832000,110.91,111.68,106.57,109.2,20010
1382918400,109.2,108.27,107.03,108.12,4234
1383004800,108.12,111.22,107.81,109.67,7580
1383091200,109.67,111.37,107.5,111.37,4278
1383177600,111.37,111.99,108.43,109.67,13446
1383696000,109.67,109.2,107.34,109.2,1100
1383782400,109.2,113.54,109.36,110.44,3833
1384041600,110.44,111.53,109.67,109.67,5508
1384128000,109.67,113.38,109.2,113.38,5107
1384214400,113.38,118.19,112.76,113.54,6554
1384300800,113.54,115.4,110.6,111.99,17494
1384387200,111.99,112.3,111.06,112.3,6439
1384992000,112.3,121.75,114.16,119.74,7277
1385251200,119.74,130.43,118.5,120.2,18544
1385337600,120.2,120.2,114.93,115.55,9430
1385424000,115.55,118.19,114.31,116.02,7622
1385510400,116.02,116.64,112.92,114.0,2173
1385596800,114.0,114.31,111.22,112.92,7138
1385856000,112.92,114.62,111.99,112.76,107794
1385942400,112.76,119.43,112.76,115.86,31973
1386028800,115.86,119.74,117.72,119.27,21886
1386115200,119.27,125.47,119.12,122.84,31863
1386201600,122.84,127.18,121.44,124.23,60375
1386460800,124.23,124.54,120.51,122.06,15956
1386547200,122.06,123.46,121.29,121.91,5129
1386633600,121.91,121.91,119.12,120.51,7355
1386720000,120.51,123.61,120.98,122.22,16483
1386806400,122.22,124.23,120.05,124.23,30679
1387065600,124.23,127.49,121.91,127.02,59921
1387152000,127.02,138.49,129.19,138.49,36619
1387324800,138.49,151.04,139.73,151.04,41249
1387411200,151.04,151.5,137.25,148.25,60364
1387670400,148.25,147.63,137.56,141.59,52786
1387756800,141.59,139.88,132.13,133.37,29079
1387843200,133.37,140.97,130.43,136.47,24385
1388016000,136.47,145.31,138.33,138.33,22385
1388275200,138.33,138.8,135.08,138.33,28367
1388448000,138.33,138.49,135.85,136.94,21248
1388534400,136.94,137.09,132.13,133.84,15632
1388620800,133.84,137.56,130.58,136.63,7593
1388880000,136.63,136.78,134.61,135.23,16534
1388966400,135.23,135.39,134.46,134.77,6700
1389052800,134.77,136.63,134.46,135.85,6021
1389139200,135.85,136.78,135.23,135.39,10346
1389225600,135.39,136.01,134.77,135.85,6608
1389484800,135.85,139.88,136.01,138.64,18527
1389571200,138.64,141.43,137.71,138.64,12308
1389657600,138.64,138.18,136.01,138.18,3326
1389830400,138.18,141.9,138.33,139.11,9127
1390089600,139.11,139.88,136.78,138.8,3190
1390176000,138.8,139.73,136.01,136.01,6879
1390262400,136.01,136.94,133.68,135.39,14635
1390348800,135.39,136.01,130.74,134.46,20517
1390435200,134.46,134.46,132.75,133.99,4680
1390694400,133.99,136.01,133.22,134.61,8519
1390780800,134.61,136.01,132.91,134.77,6808
1390867200,134.77,136.01,132.44,134.77,13553
1390953600,134.77,134.61,132.75,133.06,10585
1391299200,133.06,134.3,131.36,132.91,11892
1391385600,132.91,132.75,130.58,132.13,16812
1391472000,132.13,132.75,128.26,132.75,18976
1391558400,132.75,132.91,129.81,132.91,3407
1391644800,132.91,133.68,131.36,131.98,2658
1391904000,131.98,135.23,131.51,135.23,7846
1391990400,135.23,146.39,136.01,136.16,12247
1392076800,136.16,136.32,133.84,134.61,5256
1392163200,134.61,136.94,134.46,136.01,4331
1392249600,136.01,137.4,135.85,137.25,5315
1392508800,137.25,135.23,132.29,132.91,3199
1392595200,132.91,135.23,132.91,133.68,3027
1392681600,133.68,135.85,133.22,135.23,1816
1392854400,135.23,137.71,136.01,136.63,4581
1393113600,136.63,139.11,136.01,137.56,6943
1393200000,137.56,139.88,132.91,133.84,11483
1393286400,133.84,136.01,132.91,136.01,5271
1393372800,136.01,136.01,132.91,132.91,4496
1393804800,132.91,132.13,130.12,131.36,2089
1393891200,131.36,131.67,128.26,131.36,4838
1393977600,131.36,133.68,130.12,132.75,3715
1394064000,132.75,134.46,129.81,132.13,3687
1394323200,132.13,131.2,128.42,128.42,3723
1394409600,128.42,129.81,126.71,128.26,7162
1394496000,128.26,127.49,126.09,126.4,2745
1394582400,126.4,126.87,125.16,125.63,4187
1394668800,125.63,128.26,125.94,128.26,4580
1395014400,128.26,127.49,125.16,125.16,4751
1395100800,125.16,126.71,120.51,120.51,16038
1395187200,120.51,125.01,120.67,123.15,4123
1395273600,123.15,123.77,122.06,122.84,5069
1395532800,122.84,123.15,122.06,122.99,4683
1395619200,122.99,125.01,120.51,123.77,8026
1395705600,123.77,123.61,121.6,123.61,9221
1395792000,123.61,125.32,123.61,125.16,1444
1395878400,125.16,125.47,122.84,122.84,6735
1396224000,122.84,125.78,120.82,125.78,1398
1396310400,125.78,129.66,124.39,127.49,4735
1396396800,127.49,129.35,125.16,129.35,10955
1396483200,129.35,129.81,126.71,126.71,2134
1396742400,126.71,125.78,124.08,124.7,4714
1396828800,124.7,126.56,123.61,124.39,2640
1397001600,124.39,124.85,122.99,123.77,5757
1397088000,123.77,126.71,122.84,122.84,5565
1397347200,122.84,128.11,123.3,125.94,6589
1397520000,125.94,127.49,126.09,126.09,2297
1397606400,126.09,126.09,123.61,124.23,4591
1397692800,124.23,125.94,123.15,124.39,4537
1397952000,124.39,124.54,122.84,124.08,5125
1398038400,124.08,124.54,122.84,124.08,4316
1398124800,124.08,124.39,122.99,124.39,5733
1398211200,124.39,125.94,123.3,125.16,10248
1398556800,125.16,126.09,123.61,124.08,4846
1398643200,124.08,124.39,122.06,123.3,7193
1398729600,123.3,124.85,121.29,121.6,10800
1398816000,121.6,123.46,121.6,122.53,6400
1399161600,122.53,122.84,121.6,121.75,10809
1399248000,121.75,128.26,121.29,128.26,14100
1399334400,128.26,133.37,127.8,131.05,18763
1399420800,131.05,133.22,128.73,129.04,12773
1399507200,129.04,129.5,125.94,128.57,1781
1399766400,128.57,127.49,124.7,127.49,11597
1399852800,127.49,127.64,125.32,126.71,7125
1399939200,126.71,133.68,128.26,129.96,17364
1400112000,129.96,130.89,127.95,129.66,11616
1400371200,129.66,130.58,128.26,129.96,5565
1400457600,129.96,129.19,126.71,126.87,7628
1400544000,126.87,128.11,125.16,125.94,7385
1400630400,125.94,128.88,126.56,128.88,3031
1400716800,128.88,129.5,128.26,129.04,2592
1400976000,129.04,129.66,128.26,128.57,5524
1401062400,128.57,129.19,127.02,127.49,2733
1401148800,127.49,127.95,125.78,126.71,7178
1401235200,126.71,128.26,125.32,127.18,9179
1401580800,127.18,131.98,126.09,131.05,13720
1401667200,131.05,136.01,131.05,133.22,15161
1401753600,133.22,138.64,133.99,134.46,15492
1401840000,134.46,136.32,133.37,134.46,13781
1401926400,134.46,136.47,131.36,135.54,12192
1402185600,135.54,138.95,133.22,138.33,10745
1402272000,138.33,140.66,134.46,139.11,12221
1402358400,139.11,140.97,133.53,139.57,16308
1402444800,139.57,144.07,139.11,142.83,20869
1402531200,142.83,143.76,141.28,142.67,18238
1402790400,142.67,150.73,142.98,149.95,20485
1402876800,149.95,153.98,148.71,151.5,25640
1402963200,151.5,153.36,147.01,151.19,28669
1403049600,151.19,152.12,148.4,149.49,13840
1403136000,149.49,149.95,145.31,147.01,14307
1403481600,147.01,148.4,144.22,146.86,7306
1403568000,146.86,148.4,145.15,146.86,10860
1403654400,146.86,148.71,146.24,147.94,9500
1403740800,147.94,149.18,146.55,147.16,6923
1404000000,147.16,150.73,148.4,149.95,12909
1404086400,149.95,149.95,146.86,149.33,7923
1404172800,149.33,150.42,148.4,149.02,9541
1404259200,149.02,150.73,149.18,149.8,7558
1404345600,149.8,150.42,148.4,149.18,16605
1404604800,149.18,149.95,146.86,149.95,18115
1404691200,149.95,155.84,149.18,153.83,7383
1404777600,153.83,158.48,153.05,156.15,18850
1404864000,156.15,160.03,153.36,160.03,5121
1404950400,160.03,165.14,154.6,165.14,24045
1405209600,165.14,171.49,163.28,165.6,28002
1405296000,165.6,167.0,161.58,163.9,3750
1405382400,163.9,165.14,161.27,163.75,7551
1405468800,163.75,165.45,162.04,162.35,7162
1405555200,162.35,165.29,160.8,162.82,13097
1405814400,162.82,168.55,162.82,164.67,14869
1405900800,164.67,167.77,162.35,164.21,21108
1405987200,164.21,164.21,161.58,162.35,21987
1406073600,162.35,164.67,160.8,163.9,18748
1406160000,163.9,163.9,159.41,161.73,13607
1406419200,161.73,164.67,159.25,160.8,10803
1406505600,160.8,162.66,157.86,162.35,4356
1406678400,162.35,162.2,159.25,159.25,18498
1406764800,159.25,160.65,157.86,159.25,6282
1407024000,159.25,158.48,155.53,156.31,9122
1407110400,156.31,157.7,153.05,154.6,10581
1407196800,154.6,159.72,153.05,154.14,10004
1407283200,154.14,155.38,151.81,153.83,14679
1407369600,153.83,153.83,147.78,151.81,6474
1407801600,151.81,154.6,146.39,146.39,9882
1407888000,146.39,150.88,143.76,146.86,15066
1407974400,146.86,151.04,145.31,149.18,8530
1408320000,149.18,151.04,143.76,144.53,13653
1408406400,144.53,147.63,143.76,144.53,16533
1408492800,144.53,145.46,142.83,144.53,17040
1408579200,144.53,147.32,139.73,145.62,14341
1408838400,145.62,149.18,143.91,144.07,6618
