date,open,high,low,close,volume
1325635200,27.12,26.63,25.23,25.23,3045
1325721600,25.23,25.72,25.72,25.72,375
1326326400,25.72,27.8,26.22,27.8,250
1326672000,27.8,28.34,28.34,28.34,200
1326758400,28.34,28.34,27.8,28.34,80
1327190400,28.34,28.25,28.25,28.25,45
1327276800,28.25,28.34,28.07,28.07,525
1327536000,28.07,28.07,28.07,28.07,376
1327795200,28.07,28.12,28.03,28.12,150
1327968000,28.12,28.57,28.03,28.57,250
1328054400,28.57,28.71,28.53,28.53,560
1328140800,28.53,28.53,28.53,28.53,50
1328400000,28.53,28.71,28.57,28.71,45
1328486400,28.71,29.25,29.25,29.25,200
1328572800,29.25,28.93,28.71,28.93,1015
1328659200,28.93,28.93,28.93,28.93,15
1329177600,28.93,28.93,28.71,28.93,45
1329264000,28.93,29.38,29.16,29.16,43
1329955200,29.16,28.98,28.93,28.98,138
1330214400,28.98,29.02,29.02,29.02,172
1330473600,29.02,29.57,29.57,29.57,53
1330560000,29.57,29.38,29.38,29.38,30
1330819200,29.38,29.38,29.38,29.38,108
1330905600,29.38,29.84,29.25,29.38,135
1330992000,29.38,29.84,29.38,29.84,43
1331424000,29.84,29.84,29.84,29.84,500
1331510400,29.84,29.79,29.25,29.79,28
1331596800,29.79,29.79,29.79,29.79,20
1331683200,29.79,29.61,29.61,29.61,1250
1332115200,29.61,29.16,29.16,29.16,4395
1332201600,29.16,28.93,28.93,28.93,27
1332633600,28.93,28.93,28.48,28.48,160
1332892800,28.48,28.93,28.48,28.48,36107
1333238400,28.48,28.93,28.93,28.93,1000
1333411200,28.93,28.93,28.93,28.93,175
1333497600,28.93,28.93,28.48,28.48,25
1334188800,28.48,29.02,29.02,29.02,20
1334448000,29.02,29.57,29.57,29.57,10
1334534400,29.57,31.33,30.15,31.33,40
1334620800,31.33,31.92,31.92,31.92,13
1334707200,31.92,35.08,32.5,35.08,95
1334793600,35.08,37.84,35.76,37.48,894
1335052800,37.48,37.07,37.07,37.07,10
1335225600,37.07,38.25,36.84,37.52,1776
1335312000,37.52,37.75,37.52,37.75,1500
1335398400,37.75,38.25,36.8,37.07,6259
1335657600,37.07,38.92,37.07,38.92,3980
1336003200,38.92,38.92,38.92,38.92,23
1336435200,38.92,38.92,38.92,38.92,305
1336521600,38.92,40.46,39.69,40.46,60
1337126400,40.46,41.95,41.18,41.95,80
1337644800,41.95,41.14,41.14,41.14,10
1337817600,41.14,42.72,40.32,42.72,262
1338076800,42.72,43.53,42.72,42.72,20
1339286400,42.72,41.91,41.91,41.91,15
1339372800,41.91,41.09,41.09,41.09,30
1339459200,41.09,41.91,41.91,41.91,10
1340064000,41.91,41.09,39.15,40.64,155
1341187200,40.64,40.64,40.64,40.64,60
1341792000,40.64,39.87,36.62,36.62,260
1341878400,36.62,35.89,34.18,34.67,672
1341964800,34.67,35.49,34.99,35.26,1195
1342051200,35.26,35.49,34.63,35.49,185
1342310400,35.49,35.49,35.49,35.49,500
1342483200,35.49,36.35,35.49,35.94,1821
1342569600,35.94,36.3,35.94,36.3,2060
1342656000,36.3,36.84,36.17,36.84,1404
1342915200,36.84,38.25,36.35,38.25,2531
1343001600,38.25,38.43,37.52,38.43,406
1343088000,38.43,38.2,37.66,38.2,1376
1343174400,38.2,37.97,37.97,37.97,823
1343260800,37.97,38.02,38.02,38.02,30
1343606400,38.02,39.33,38.34,38.88,2877
1343692800,38.88,38.88,38.88,38.88,24
1343779200,38.88,39.1,39.1,39.1,60
1344124800,39.1,39.1,38.38,38.38,582
1344211200,38.38,39.1,39.06,39.06,299
1344297600,39.06,39.1,39.1,39.1,515
1344729600,39.1,39.83,39.1,39.38,699
1344816000,39.38,39.74,39.1,39.74,988
1344902400,39.74,39.78,39.15,39.56,1472
1344988800,39.56,39.69,39.33,39.33,814
1345075200,39.33,40.01,39.33,40.01,712
1345334400,40.01,40.01,39.56,39.6,928
1345507200,39.6,39.56,39.33,39.33,2577
1345593600,39.33,39.33,39.1,39.33,72
1345680000,39.33,40.23,40.01,40.23,132
1346025600,40.23,40.23,39.56,39.56,3835
1346112000,39.56,39.78,39.51,39.78,1115
1346803200,39.78,41.32,40.55,41.32,536
1346889600,41.32,45.3,42.13,45.3,4495
1347148800,45.3,49.82,46.2,49.82,4094
1347235200,49.82,54.79,50.81,54.79,2980
1347321600,54.79,58.77,52.21,58.09,10220
1347408000,58.09,56.96,54.25,55.29,9373
1347494400,55.29,56.73,54.25,56.01,2843
1347753600,56.01,57.37,54.25,57.37,1438
1347840000,57.37,56.24,54.25,54.25,2643
1347926400,54.25,55.33,53.21,54.25,2316
1348012800,54.25,54.25,53.71,53.71,190
1348099200,53.71,54.25,51.58,51.58,261
1348358400,51.58,52.44,50.54,50.54,1675
1348444800,50.54,53.57,51.08,52.53,1261
1348531200,52.53,53.57,53.12,53.57,280
1348617600,53.57,54.02,52.89,52.89,4124
1348704000,52.89,55.06,53.07,55.06,1010
1348963200,55.06,54.61,54.25,54.25,1867
1349049600,54.25,59.4,53.12,59.4,3256
1349136000,59.4,58.23,54.25,54.61,2230
1349222400,54.61,55.33,55.06,55.33,1476
1349308800,55.33,56.06,54.25,56.06,2865
1349568000,56.06,57.14,56.06,56.06,1875
1349654400,56.06,55.2,54.97,55.15,1030
1349740800,55.15,56.46,55.38,56.46,1231
1349827200,56.46,56.96,56.19,56.19,293
1349913600,56.19,56.96,55.88,56.06,1095
1350172800,56.06,58.09,57.01,58.09,25
