date,open,high,low,close,volume
1325376000,33.76,34.18,33.34,33.34,530
1325462400,33.34,33.34,32.49,32.49,1220
1325548800,32.49,32.91,31.65,32.91,100
1325635200,32.91,34.18,33.34,34.18,80
1326672000,34.18,35.45,34.6,35.45,390
1326758400,35.45,35.87,35.02,35.87,530
1327449600,35.87,35.45,35.02,35.02,80
1327536000,35.02,35.87,35.45,35.87,170
1328054400,35.87,35.87,35.87,35.87,130
1328572800,35.87,35.45,35.45,35.45,460
1328745600,35.45,35.02,35.02,35.02,10
1329955200,35.02,35.45,35.02,35.02,490
1330214400,35.02,34.6,33.76,33.76,2440
1330300800,33.76,33.76,33.34,33.34,1390
1330387200,33.34,32.91,32.91,32.91,10
1330473600,32.91,32.91,32.49,32.91,400
1331769600,32.91,32.49,32.49,32.49,80
1332633600,32.49,32.49,32.49,32.49,180
1332806400,32.49,32.07,32.07,32.07,150
1332892800,32.07,31.65,31.65,31.65,640
1333497600,31.65,31.65,31.23,31.23,390
1334793600,31.23,31.23,31.23,31.23,10
1335052800,31.23,30.8,30.8,30.8,90
1336348800,30.8,31.23,31.23,31.23,40
1336435200,31.23,31.65,31.65,31.65,80
1336608000,31.65,31.23,31.23,31.23,140
1337472000,31.23,30.8,30.8,30.8,210
1337558400,30.8,32.49,31.23,32.49,100
1337644800,32.49,34.18,32.91,34.18,150
1337731200,34.18,36.29,34.6,36.29,2060
1337817600,36.29,35.87,35.87,35.87,40
1338249600,35.87,36.71,35.45,36.29,1270
1338336000,36.29,39.24,36.71,39.24,1920
1338681600,39.24,38.82,38.82,38.82,890
1338768000,38.82,38.82,37.98,38.82,1380
1338854400,38.82,39.24,38.82,38.82,730
1338940800,38.82,39.67,38.82,39.24,1060
1339027200,39.24,39.67,39.24,39.24,1610
1339286400,39.24,39.67,38.82,39.24,3160
1339372800,39.24,39.24,38.82,39.24,100
1339459200,39.24,39.67,39.24,39.24,1140
1339545600,39.24,39.24,38.82,39.24,340
1339632000,39.24,39.24,39.24,39.24,760
1339891200,39.24,39.67,39.24,39.24,1080
1339977600,39.24,38.82,38.82,38.82,490
1340064000,38.82,38.82,38.82,38.82,80
1340236800,38.82,38.4,38.4,38.4,80
1340668800,38.4,37.98,37.56,37.56,760
1340755200,37.56,37.98,37.98,37.98,150
1340841600,37.98,37.56,37.56,37.56,70
1341100800,37.56,37.13,37.13,37.13,140
1341360000,37.13,36.71,36.71,36.71,1180
1341446400,36.71,36.29,36.29,36.29,80
1341705600,36.29,35.87,35.45,35.45,720
