date,open,high,low,close,volume
1325376000,92.96,94.82,93.7,94.82,1032
1325462400,94.82,97.42,95.93,97.42,592
1325548800,97.42,100.39,98.9,99.09,1124
1325635200,99.09,97.6,97.6,97.6,86
1325721600,97.6,97.42,96.12,96.12,484
1325980800,96.12,96.49,95.75,95.93,600
1326067200,95.93,97.42,97.05,97.05,503
1326153600,97.05,98.53,96.49,98.53,1052
1326240000,98.53,100.02,100.02,100.02,20
1326326400,100.02,99.83,98.35,99.09,384
1326844800,99.09,100.02,100.02,100.02,50
1327190400,100.2,100.39,98.9,100.2,1780
1327276800,100.2,99.27,99.27,99.27,109
1327449600,99.27,97.79,95.19,95.19,268
1327536000,95.19,93.7,91.85,91.85,65867
1327795200,91.85,96.3,93.33,95.0,293
1327968000,95.0,96.86,96.3,96.86,593
1328054400,96.86,96.49,96.49,96.49,1569
1328400000,96.49,97.79,96.49,96.68,325
1328486400,96.68,96.49,95.56,95.56,576
1328572800,95.56,97.05,95.56,95.93,491
1328659200,95.93,92.03,92.03,92.03,28000
1329004800,92.03,95.56,93.52,95.0,925
1329091200,95.0,95.93,94.82,95.75,254
1329177600,95.75,96.49,95.56,95.75,462
1329264000,95.75,94.82,94.82,94.82,328
1329350400,94.82,93.33,93.33,93.33,2286
1329782400,93.33,94.82,93.33,94.45,2792
1329955200,94.45,94.82,93.33,94.82,2130
1330214400,94.82,97.05,95.56,95.93,710
1330300800,95.93,96.49,94.08,95.93,2776
1330387200,95.93,97.42,96.68,97.42,644
1330473600,97.42,98.9,96.49,98.9,2511
1330560000,98.9,98.35,96.68,98.35,3453
1330819200,98.35,98.16,96.3,97.79,3314
1330905600,97.79,99.46,96.49,99.46,2697
1330992000,99.46,99.27,97.97,99.27,2150
1331424000,99.27,98.35,95.75,96.49,3241
1331510400,96.49,97.97,95.75,95.93,1486
1331596800,95.93,96.12,96.12,96.12,120
1331683200,96.12,97.42,96.49,97.23,573
1331769600,97.23,96.49,96.3,96.49,564
1332028800,96.49,97.23,96.12,96.68,1180
1332115200,96.68,97.23,96.49,97.23,238
1332201600,97.23,98.35,96.86,96.86,586
1332288000,96.86,97.23,95.38,97.23,527
1332633600,97.23,95.93,95.93,95.93,730
1332720000,95.93,96.68,96.68,96.68,27
1332806400,96.68,96.49,95.38,96.49,568
1332979200,96.49,96.68,95.93,95.93,200
1333238400,95.93,96.86,95.93,96.49,597
1333324800,96.49,96.49,96.3,96.3,340
1333411200,96.3,97.05,95.93,97.05,658
1333497600,97.05,97.42,96.49,96.86,262
1333584000,96.86,96.86,96.86,96.86,33
1333843200,96.86,99.65,97.05,98.35,1169
1333929600,98.35,99.27,99.09,99.09,265
1334016000,99.09,103.73,96.49,103.73,2534
1334102400,103.73,107.26,102.06,102.06,1562
1334188800,102.06,107.07,102.25,105.77,1874
1334448000,105.77,112.64,107.44,112.64,1354
1334534400,112.64,119.89,114.13,119.89,4480
1334620800,119.89,126.01,114.13,114.13,3510
1334707200,114.13,120.63,108.56,118.77,2143
1334793600,118.77,124.71,118.77,122.49,5585
1335052800,122.49,127.87,123.04,127.13,3173
1335225600,127.13,138.08,129.17,138.08,3245
1335312000,138.08,149.97,140.31,149.97,1132
1335398400,149.97,159.44,140.13,149.78,10322
1335657600,149.78,151.27,144.02,146.81,5553
1335744000,146.81,144.77,138.64,141.61,1541
1335916800,141.61,139.2,135.11,135.11,467
1336003200,135.11,146.81,137.34,146.81,4084
1336348800,146.81,149.22,149.22,149.22,100
1336435200,149.22,158.69,141.98,146.81,3949
1336521600,146.81,145.7,141.98,142.35,2445
1336608000,142.35,142.35,135.3,141.8,6955
1336867200,141.8,139.38,131.77,133.44,1522
1336953600,133.44,131.21,121.93,123.41,1243
1337040000,123.41,134.0,125.46,134.0,925
1337126400,134.0,145.51,136.23,145.51,2575
1337212800,145.51,152.01,140.5,140.5,6778
1337472000,140.5,142.91,136.04,139.75,3350
1337558400,139.75,144.77,136.78,143.65,6153
1337644800,143.65,141.8,138.27,139.57,5153
