date,open,high,low,close,volume
1356998400,45.17,45.17,45.17,45.17,730
1357776000,45.17,49.56,45.9,49.56,931
1358380800,49.56,54.5,50.48,54.5,1321
1358640000,54.5,53.77,53.04,53.77,625
1358812800,53.77,55.6,53.95,55.6,550
1358899200,55.6,56.7,55.05,55.05,1838
1358985600,55.05,53.95,53.95,53.95,200
1359244800,53.95,54.87,53.95,54.87,1090
1359331200,54.87,54.87,54.87,54.87,100
1359504000,54.87,53.95,53.95,53.95,108
1359590400,53.95,53.22,53.04,53.04,200
1359849600,53.04,52.12,51.57,51.57,660
1359936000,51.57,51.21,51.21,51.21,220
1360022400,51.21,52.12,52.12,52.12,333
1360108800,52.12,51.21,49.75,49.75,1648
1360195200,49.75,49.38,49.38,49.38,100
1360454400,49.38,50.29,50.29,50.29,273
1360800000,50.29,51.39,51.21,51.39,400
1361318400,51.39,52.31,52.31,52.31,332
1361664000,52.31,53.22,52.31,53.22,525
1361923200,53.22,52.31,52.31,52.31,194
1362009600,52.31,51.39,50.48,50.48,300
1362268800,50.48,50.48,49.38,49.38,748
1362355200,49.38,50.29,50.29,50.29,131
1362441600,50.29,50.29,50.29,50.29,144
1362528000,50.29,51.21,51.21,51.21,100
1363478400,51.21,52.67,50.84,51.76,592
1363737600,51.76,52.67,52.67,52.67,420
1364083200,52.67,51.76,50.84,50.84,432
1364688000,50.84,50.29,48.47,50.29,4016
1364860800,50.29,49.38,49.38,49.38,261
1364947200,49.38,48.65,47.73,47.73,1443
1365033600,47.73,48.47,48.47,48.47,293
1365292800,48.47,49.38,48.47,48.47,277
1365638400,48.47,49.38,49.38,49.38,100
1365984000,49.38,50.29,50.29,50.29,240
1366502400,50.29,50.29,50.29,50.29,102
1366588800,50.29,49.38,48.47,48.47,391
1367452800,48.47,49.38,48.47,49.38,1616
1367798400,49.38,49.38,49.38,49.38,138
1368576000,49.38,48.47,48.47,48.47,2264
1369008000,48.47,47.55,46.64,46.64,4392
1370995200,46.64,49.38,47.55,48.65,1663
1372636800,48.65,53.4,49.56,53.4,3810
