date,open,high,low,close,volume
1390348800,208.86,119.67,119.67,119.67,10
1390435200,119.67,128.7,121.36,128.7,60
1390694400,128.7,133.5,133.5,133.5,10
1390780800,133.5,141.4,135.47,141.4,40
1390867200,141.4,152.69,143.66,152.69,252
1390953600,152.69,165.11,154.95,165.11,1380
1391299200,165.11,178.66,167.65,178.66,64607
1391385600,178.66,181.48,167.93,169.34,64378
1391472000,169.34,169.06,155.79,167.65,19086
1391558400,167.65,170.19,167.65,169.62,14465
1391644800,169.62,176.96,168.78,174.7,12863
1391904000,174.7,174.99,169.34,173.58,17399
1391990400,173.58,182.04,172.45,176.12,11836
1392076800,176.12,175.83,172.16,173.86,21014
1392163200,173.86,172.73,169.34,172.73,8511
1392249600,172.73,172.73,171.6,172.73,9708
1392508800,172.73,172.45,169.91,170.75,6069
1392595200,170.75,172.73,169.34,171.04,22549
1392681600,171.04,176.12,170.75,173.58,11226
1392854400,173.58,177.81,173.29,177.81,9012
1393113600,177.81,192.77,177.81,191.92,33835
1393200000,191.92,204.62,192.49,192.49,23880
1393286400,192.49,195.59,186.28,195.59,25759
1393372800,195.59,198.69,178.94,189.1,14762
1393804800,189.1,187.69,182.33,184.87,7794
1393891200,184.87,183.45,178.37,183.17,18136
1393977600,183.17,192.49,179.22,186.28,12657
1394064000,186.28,189.1,184.87,186.28,27561
1394323200,186.28,186.28,180.63,183.45,15006
1394409600,183.45,183.45,177.81,183.17,8932
1394496000,183.17,182.04,177.81,177.81,10786
1394582400,177.81,182.04,176.4,180.63,10038
1394668800,180.63,182.04,178.09,180.63,9115
1395014400,180.63,180.63,173.58,176.4,9794
1395100800,176.4,177.81,172.45,173.58,5212
1395187200,173.58,179.22,172.16,176.4,4212
1395273600,176.4,178.37,173.58,178.37,2766
1395532800,178.37,183.45,176.68,180.63,10299
1395619200,180.63,187.97,180.07,186.28,10249
1395705600,186.28,191.92,182.61,189.1,21974
1395792000,189.1,194.46,186.28,193.05,22124
1395878400,193.05,198.98,191.92,198.69,39017
1396224000,198.69,206.6,197.57,206.6,19441
1396310400,206.6,215.91,204.9,214.5,18629
1396396800,214.5,225.79,212.52,221.27,35568
1396483200,221.27,225.79,208.86,209.42,18448
1396742400,209.42,209.98,206.03,208.86,10967
1396828800,208.86,213.09,205.47,213.09,10843
1397001600,213.09,217.89,209.42,217.32,7401
1397088000,217.32,218.73,214.22,218.17,5842
1397347200,218.17,221.56,214.5,221.56,15886
