date,open,high,low,close,volume
1325462400,41.23,41.05,40.78,40.87,140
1325548800,40.87,41.05,41.05,41.05,40
1325635200,41.05,41.23,41.23,41.23,20
1325721600,41.23,41.31,40.96,40.96,3580
1325980800,40.96,41.23,41.05,41.05,310
1326067200,41.05,40.96,40.96,40.96,100
1326153600,40.96,41.31,41.14,41.31,40
1326240000,41.31,41.14,41.14,41.14,40
1326758400,41.14,41.27,40.43,41.27,190
1327795200,41.27,41.09,40.21,41.09,210
1328140800,41.09,41.8,41.27,41.8,70
1328745600,41.8,41.58,41.36,41.36,2220
1329782400,41.36,41.18,40.3,40.83,4180
1329955200,40.83,41.14,40.3,41.14,4210
1330214400,41.14,41.31,40.25,40.96,4190
1330300800,40.96,40.78,40.78,40.78,4000
1330387200,40.78,40.61,40.61,40.61,4000
1330473600,40.61,41.18,40.07,41.18,4310
1330560000,41.18,41.31,40.83,41.31,3040
1330819200,41.31,41.14,40.74,41.09,3100
1331424000,41.09,41.09,41.09,41.09,50
1332115200,41.09,40.92,40.74,40.74,20
1332201600,40.74,41.27,40.92,41.27,30
1332979200,41.27,41.45,41.45,41.45,10
1333324800,41.45,41.27,40.56,41.09,510
1334016000,41.09,41.45,41.27,41.45,30
1334707200,41.45,41.84,41.62,41.62,30
1334793600,41.62,41.84,40.52,40.52,80
1335052800,40.52,41.4,40.34,41.4,560
1335225600,41.4,41.58,41.58,41.58,10
1335398400,41.58,41.84,41.62,41.84,110
1335744000,41.84,41.84,41.62,41.84,60
1336521600,41.84,42.29,41.84,42.29,120
1336608000,42.29,42.07,42.07,42.07,30
1336867200,42.07,41.84,41.84,41.84,100
1337040000,41.84,41.62,41.62,41.62,30
1337472000,41.62,41.84,41.71,41.71,460
1337644800,41.71,41.49,40.92,41.27,550
1337817600,41.27,41.62,41.23,41.23,220
1338076800,41.23,41.4,41.4,41.4,10
1338249600,41.4,41.58,41.58,41.58,10
1338336000,41.58,41.98,41.8,41.98,20
1338768000,41.98,41.76,41.14,41.14,450
1338854400,41.14,41.93,40.96,41.93,2130
1338940800,41.93,41.71,41.49,41.49,60
1339027200,41.49,41.62,40.92,41.62,1570
1339286400,41.62,41.58,41.23,41.58,480
1339372800,41.58,41.53,41.36,41.53,410
1339459200,41.53,41.31,41.31,41.31,100
1339545600,41.31,41.49,41.27,41.45,260
1339632000,41.45,41.4,41.09,41.09,590
1339891200,41.09,40.92,40.92,40.92,10
1339977600,40.92,41.62,40.74,41.62,830
1340064000,41.62,41.4,41.05,41.05,300
1340150400,41.05,41.23,41.23,41.23,10
1340236800,41.23,41.4,41.05,41.4,310
1340582400,41.4,41.8,41.58,41.8,20
1340668800,41.8,41.58,41.58,41.58,50
1340755200,41.58,41.8,41.8,41.8,10
1340841600,41.8,41.76,41.36,41.76,120
1341100800,41.76,41.53,41.53,41.53,30
1341187200,41.53,41.31,41.0,41.0,700
1341273600,41.0,41.18,41.0,41.0,90
1341360000,41.0,41.18,40.83,41.18,230
1341446400,41.18,41.36,41.36,41.36,20
1341705600,41.36,41.98,41.53,41.98,200
1341792000,41.98,42.64,42.15,42.42,250
1341878400,42.42,43.3,42.64,43.3,1090
1341964800,43.3,43.22,43.22,43.22,50
1342051200,43.22,42.99,42.99,42.99,500
1342483200,42.99,43.04,42.99,43.04,110
1342656000,43.04,42.82,42.82,42.82,20
1343001600,42.82,43.04,43.04,43.04,10
1344384000,43.04,42.82,42.38,42.38,2680
1345075200,42.38,42.15,41.18,41.18,1670
1345334400,41.18,41.18,41.0,41.18,80
1345507200,41.18,41.71,41.0,41.71,370
1345593600,41.71,41.62,40.96,41.62,520
1345939200,41.62,42.73,41.4,42.73,3720
1346025600,42.73,43.48,42.95,43.26,2370
1346112000,43.26,43.57,43.08,43.35,1400
1346198400,43.35,44.06,43.57,44.01,930
1346284800,44.01,44.76,44.23,44.76,5460
1346544000,44.76,45.21,44.68,44.68,240
1346630400,44.68,44.81,44.41,44.68,620
1346716800,44.68,44.94,44.68,44.94,220
1346803200,44.94,44.68,44.68,44.68,100
1346889600,44.68,44.41,43.88,44.01,940
1347148800,44.01,44.32,44.06,44.32,1170
1347235200,44.32,44.76,44.54,44.76,500
1347321600,44.76,45.3,44.76,45.3,1100
1347408000,45.3,46.53,45.52,46.18,1540
1347494400,46.18,45.91,45.91,45.91,1000
1347753600,45.91,46.8,46.22,46.8,990
1347840000,46.8,47.11,47.11,47.11,80
1347926400,47.11,47.42,46.8,46.8,230
1348099200,46.8,46.49,45.87,45.87,90
1348444800,45.87,46.14,46.14,46.14,10
1348531200,46.14,45.83,45.12,45.3,1510
1348617600,45.3,45.47,45.03,45.47,570
1348704000,45.47,45.74,45.74,45.74,200
1348963200,45.74,46.93,45.91,46.62,2490
1349136000,46.62,46.89,46.58,46.58,30
1349222400,46.58,46.27,45.69,45.69,110
1349308800,45.69,46.22,45.91,46.22,100
1349568000,46.22,47.02,46.53,47.02,740
1349654400,47.02,47.02,46.71,46.71,850
1349740800,46.71,46.45,46.4,46.4,1020
1349827200,46.4,46.71,46.09,46.09,70
1349913600,46.09,46.4,45.91,46.09,2300
1350172800,46.09,46.0,45.91,45.91,350
1350259200,45.91,45.91,45.83,45.83,300
1350432000,45.83,46.0,46.0,46.0,90
1350518400,46.0,47.29,46.31,47.29,200
1351728000,47.29,47.15,46.98,47.15,860
1351987200,47.15,47.29,47.11,47.29,2750
1352073600,47.29,46.98,46.71,46.71,40
1352246400,46.71,47.02,47.02,47.02,900
1352332800,47.02,48.13,47.29,48.13,1910
1352592000,48.13,48.44,48.44,48.44,10
1352678400,48.44,48.35,48.08,48.35,380
1353196800,48.35,47.99,47.99,47.99,20
1353369600,47.99,48.39,48.3,48.39,30
1353456000,48.39,48.04,47.73,47.73,1580
1353542400,47.73,47.42,47.42,47.42,240
1353801600,47.42,47.42,47.42,47.42,70
1353888000,47.42,47.24,47.24,47.24,4500
1353974400,47.24,47.51,46.89,46.89,2090
1354060800,46.89,47.86,47.2,47.86,190
1354147200,47.86,47.55,47.55,47.55,120
1354492800,47.55,47.24,47.24,47.24,100
1354752000,47.24,46.98,46.98,46.98,10
1355356800,46.98,47.6,47.29,47.29,150
1355616000,47.29,47.91,47.29,47.91,60
1355702400,47.91,48.26,47.86,48.26,12100
1355788800,48.26,48.13,48.13,48.13,70
1356220800,48.13,48.48,48.48,48.48,10
1356307200,48.48,48.48,48.13,48.13,2220
1356480000,48.13,48.83,48.35,48.83,270
1356566400,48.83,48.52,48.52,48.52,100
1356998400,48.52,48.92,48.52,48.57,2290
1357084800,48.57,48.22,47.86,47.86,11710
1357171200,47.86,47.55,47.55,47.55,20
1357516800,47.55,49.19,47.86,49.19,190
1357603200,49.19,49.54,49.54,49.54,30
1357689600,49.54,49.9,49.85,49.9,60
1357776000,49.9,50.43,50.12,50.43,270
1358208000,50.43,50.69,50.29,50.29,310
1358294400,50.29,50.47,50.12,50.47,320
1358380800,50.47,50.83,50.56,50.83,40
1358640000,50.83,50.43,50.43,50.43,170
1358726400,50.43,50.34,50.34,50.34,170
1358899200,50.34,50.34,49.94,49.94,1130
1358985600,49.94,50.29,49.67,50.29,580
1359244800,50.29,50.34,50.34,50.34,30
1359331200,50.34,50.34,50.34,50.34,20
1359504000,50.34,50.74,50.74,50.74,20
1359936000,50.74,50.96,50.96,50.96,30
1360108800,50.96,52.15,51.36,52.15,40
1360195200,52.15,52.73,52.29,52.29,250
1360454400,52.29,52.64,52.11,52.64,90
1360713600,52.64,52.64,52.2,52.64,120
1360800000,52.64,53.08,53.08,53.08,20
1361059200,53.08,53.35,53.35,53.35,100
1361232000,53.35,54.67,53.79,54.67,50
1361318400,54.67,55.12,55.12,55.12,10
1361404800,55.12,55.43,55.43,55.43,10
1361664000,55.43,54.94,53.57,53.57,450
1361750400,53.57,54.9,54.01,54.41,250
1361836800,54.41,54.41,53.97,54.41,220
1361923200,54.41,54.36,53.92,53.92,360
1362009600,53.92,53.48,53.21,53.21,70
1362268800,53.21,53.35,52.11,52.9,1670
1362528000,52.9,52.55,52.55,52.55,50
1362614400,52.55,52.55,52.11,52.55,2070
1362960000,52.55,52.33,52.33,52.33,90
